patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,patch_size,source_file,parsed_date
8,8,2,1,2,34,87,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
9,4,1,1,1,47,0,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
10,4,5,1,5,21,265,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
11,4,5,1,5,14,274,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
12,4,4,1,4,48,187,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
13,8,9,1,9,18,482,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
14,8,0,1,0,NA,0,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
15,8,3,1,3,39,296,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
16,4,3,1,3,23,641,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
17,8,0,1,0,NA,0,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
18,8,4,1,4,148,1214,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
19,8,3,1,3,86,83,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
20,8,0,1,0,NA,0,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
21,4,0,1,0,NA,0,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
