patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,patch_size,source_file,parsed_date
11,8,0,1,0,NA,0,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
12,8,0,1,0,NA,0,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
13,8,0,1,0,NA,0,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
14,5,0,1,0,NA,0,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
15,8,9,1,9,63,393,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
16,4,17,1,17,13,3348,M2_Week22_Day6 (17.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
17,4,3,1,3,75,92,M2_Week22_Day6 (17.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day6_17.6.25.csv,2025-06-17
0,4,7,1,7,10,470,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
1,4,6,1,6,12,412,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
2,8,3,1,3,13,220,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
3,8,16,1,16,16,514,Week22_Day8 (19.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
4,4,8,1,8,4,499,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
5,4,1,1,1,6,0,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
6,4,4,1,4,4,77,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
7,7,2,1,2,12,98,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
8,8,8,1,8,8,275,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
9,8,0,1,0,NA,0,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
10,8,1,1,1,13,0,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
11,8,11,1,11,14,556,Week22_Day8 (19.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
12,4,1,1,1,4,0,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
13,4,0,1,0,NA,0,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
14,4,4,1,4,4,114,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
15,4,20,1,20,17,1357,Week22_Day8 (19.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
16,4,6,1,6,14,465,Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day7_18.6.25.csv,2025-06-18
0,4,8,1,8,11,396,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
1,4,8,1,8,26,320,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
2,4,1,1,1,5,0,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
3,8,4,1,4,101,316,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
4,8,15,1,15,28,384,M2_Week22_Day8 (19.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
5,4,2,1,2,6,42,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
